Generation,Mutation_Rate,Crossover_Rate,Selection_Method,Max_Fitness_Session,Finished_Cars,Leader_Gates
1,0.050,0.80,Tournament,3000.87,0,3
2,0.050,0.80,Tournament,4000.70,0,4
3,0.050,0.80,Tournament,4000.81,0,4
4,0.050,0.80,Tournament,4000.82,0,4
5,0.050,0.80,Tournament,4000.86,0,4
6,0.050,0.80,Tournament,4000.87,0,4
7,0.050,0.80,Tournament,4000.90,0,4
8,0.050,0.80,Tournament,4000.90,0,4
9,0.050,0.80,Tournament,4000.90,0,4
10,0.050,0.80,Tournament,4000.90,0,4
11,0.050,0.80,Tournament,4000.90,0,4
12,0.050,0.80,Tournament,4000.90,0,4
13,0.050,0.80,Tournament,4000.90,0,3
14,0.050,0.80,Tournament,4000.90,0,4
15,0.050,0.80,Tournament,4000.90,0,4
16,0.050,0.80,Tournament,4000.90,0,4
17,0.050,0.80,Tournament,4000.90,0,4
18,0.050,0.80,Tournament,4000.90,0,4
19,0.050,0.80,Tournament,4000.90,0,4
20,0.050,0.80,Tournament,4000.90,0,4
21,0.050,0.80,Tournament,4000.90,0,4
22,0.050,0.80,Tournament,4000.90,0,4
23,0.050,0.80,Tournament,4000.90,0,4
24,0.050,0.80,Tournament,4000.90,0,4
25,0.050,0.80,Tournament,4000.90,0,4
26,0.050,0.80,Tournament,4000.90,0,4
27,0.050,0.80,Tournament,4000.90,0,4
28,0.050,0.80,Tournament,4000.90,0,3
29,0.050,0.80,Tournament,4000.90,0,4
30,0.050,0.80,Tournament,4000.90,0,4
31,0.050,0.80,Tournament,4000.90,0,4
32,0.050,0.80,Tournament,4000.90,0,4
33,0.050,0.80,Tournament,5000.68,0,5
34,0.050,0.80,Tournament,5000.68,0,4
35,0.050,0.80,Tournament,5000.68,0,4
36,0.050,0.80,Tournament,5000.68,0,4
37,0.050,0.80,Tournament,5000.68,0,4
38,0.050,0.80,Tournament,5000.70,0,5
39,0.050,0.80,Tournament,5000.70,0,4
40,0.050,0.80,Tournament,5000.70,0,4
41,0.050,0.80,Tournament,5000.70,0,4
42,0.050,0.80,Tournament,5000.70,0,4
43,0.050,0.80,Tournament,5000.70,0,4
44,0.050,0.80,Tournament,5000.70,0,5
45,0.050,0.80,Tournament,5000.70,0,4
46,0.050,0.80,Tournament,5000.70,0,4
47,0.050,0.80,Tournament,5000.70,0,4
48,0.050,0.80,Tournament,5000.70,0,4
49,0.050,0.80,Tournament,5000.70,0,4
50,0.050,0.80,Tournament,5000.70,0,4
51,0.050,0.80,Tournament,5000.70,0,4
52,0.050,0.80,Tournament,8000.75,0,8
53,0.050,0.80,Tournament,8000.75,0,5
54,0.050,0.80,Tournament,8000.75,0,4
55,0.050,0.80,Tournament,8000.75,0,8
56,0.050,0.80,Tournament,8000.75,0,5
57,0.050,0.80,Tournament,8000.75,0,4
58,0.050,0.80,Tournament,8000.75,0,4
59,0.050,0.80,Tournament,8000.75,0,4
60,0.050,0.80,Tournament,8000.75,0,4
61,0.050,0.80,Tournament,8000.75,0,4
62,0.050,0.80,Tournament,8000.75,0,4
63,0.050,0.80,Tournament,8000.75,0,5
64,0.050,0.80,Tournament,8000.75,0,5
65,0.050,0.80,Tournament,8000.75,0,4
66,0.050,0.80,Tournament,8000.75,0,4
